Division,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales,Price,Calendar_Week_Date
Mumbai,392,422,408,349895.0107,73580,12072,682,59417,112.2013341,2018-01-06
Mumbai,787,904,110,506270.2176,11804,9499,853,56806,117.358495,2018-01-13
Mumbai,81,970,742,430042.1538,52232,17048,759,48715,136.8503883,2018-01-20
Mumbai,25,575,65,417745.6658,78640,10207,942,72047,92.53218964,2018-01-27
Mumbai,565,284,295,408505.8012,40561,5834,658,56235,118.5501319,2018-02-03
Mumbai,256,330,683,434729.755,36750,8469,691,56347,118.3144918,2018-02-10
Mumbai,886,56,664,634432.9117,112489,8331,685,81604,81.69534173,2018-02-17
Mumbai,336,99,470,555036.3088,218,6319,569,80492,82.82396594,2018-02-24
Mumbai,305,209,501,423690.0837,13065,7898,772,61804,107.8678834,2018-03-03
Mumbai,955,283,609,471730.039,84449,8428,833,64944,102.6525417,2018-03-10
Mumbai,650,466,290,464972.6858,11438,6900,978,62945,105.9125692,2018-03-17
Mumbai,962,614,605,424832.1916,58830,14151,196,65018,102.5357081,2018-03-24
Mumbai,674,831,762,427351.2598,29536,7840,571,68472,97.36339915,2018-03-31
Mumbai,604,22,130736,418862.0356,91874,6575,737,53473,124.6735112,2018-04-07
Mumbai,342,432,208099,508059.5563,61025,7733,550,59351,112.3261051,2018-04-14
Mumbai,833,10,209285,412036.2647,38548,8358,792,72647,91.76795555,2018-04-21
Mumbai,868,750,232531,473344.0824,27777,8208,905,62975,105.8621146,2018-04-28
Mumbai,20,776,258508,399782.5359,51402,7789,741,73440,90.77705156,2018-05-05
Mumbai,704,391,350509,347974.4459,43773,10803,698,73081,91.22298089,2018-05-12
Mumbai,554,21,349590,378663.2045,5457,7350,990,63422,105.1159955,2018-05-19
Mumbai,903,124,339701,457524.6496,18636,9041,333,65930,101.1173467,2018-05-26
Mumbai,926,139,272962,334461.8929,58676,10338,611,67830,98.28492801,2018-06-02
Mumbai,273,84,260513,376282.2511,95075,9525,481,72316,92.18798975,2018-06-09
Mumbai,929,358,239193,338646.3504,49503,9606,805,66903,99.64675226,2018-06-16
Mumbai,261,564,257999,394913.4299,33836,9592,913,68825,96.86402712,2018-06-23
Mumbai,160,423,300068,372145.5745,41871,12818,413,90421,73.72918533,2018-06-30
Mumbai,489,927,398603,323816.9932,38020,9479,574,47768,139.5634455,2018-07-07
Mumbai,196,900,465878,463140.8772,157256,9427,468,110359,60.4089079,2018-07-14
Mumbai,843,976,375324,351878.9496,120756,8103,121,111259,59.92024615,2018-07-21
Mumbai,417,761,365439,367606.8031,87487,8569,470,69277,96.23203468,2018-07-28
Mumbai,971,593,338155,286526.9413,99863,9187,582,73348,90.89091273,2018-08-04
Mumbai,640,296,351992,357211.0809,107090,8296,550,59450,112.1390524,2018-08-11
Mumbai,138,245,505429,414114.3816,152851,10638,712,85245,78.20595538,2018-08-18
Mumbai,58,459,514951,419266.8725,295046,10829,438,96340,69.19936337,2018-08-25
Mumbai,766,65,560749,331608.5452,236072,10673,511,87248,76.41053854,2018-09-01
Mumbai,947,431,525501,347630.9396,283426,8153,706,72504,91.94894994,2018-09-08
Mumbai,403,261,598424,338349.1595,199895,7887,128,102759,64.87671802,2018-09-15
Mumbai,111,748,571337,327584.378,236126,6725,903,94933,70.22496568,2018-09-22
Mumbai,441,759,679729,289529.4984,219372,7695,145,99169,67.22530898,2018-09-29
Mumbai,692,540,652498,265198.8945,95291,6387,804,116818,57.06883072,2018-10-06
Mumbai,121,1452,561755,263425.5333,122823,6428,1220,105914,62.94414966,2018-10-13
Mumbai,305,2183,761769,259054.8016,106285,6012,2030,128191,52.00573103,2018-10-20
Mumbai,937,1378,689753,274521.3176,114960,4735,1821,112396,59.31409184,2018-10-27
Mumbai,247,1720,609882,268329.1062,171775,5295,2034,156591,42.57375371,2018-11-03
Mumbai,337,4371,1016756,556982.1233,194349,5073,4781,186876,35.67427956,2018-11-10
Mumbai,597,3605,1552213,547177.7689,283528,4760,3978,208474,31.97840818,2018-11-17
Mumbai,798,1815,1709493,557083.5716,743909,4953,3169,338311,19.70573427,2018-11-24
Mumbai,1738,1511,1160722,688442.588,126493,5750,2574,266300,25.03442233,2018-12-01
Mumbai,24788,1632,558879,425805.1255,68776,5247,26253,187382,35.57794594,2018-12-08
Mumbai,20699,2982,462233,354046.9198,146088,4837,23170,190487,34.99801386,2018-12-15
Mumbai,9967,3548,405196,345259.3411,60643,5060,12683,109947,60.63527578,2018-12-22
Mumbai,7077,3641,428545,486211.3229,46804,5208,10368,66448,100.3290794,2018-12-29
Mumbai,6132,3471,391548,485385.8465,19462,6301,7952,69510,95.90946147,2019-01-05
Mumbai,9731,2608,375771,364144.0227,41106,7589,12014,55500,120.1201201,2019-01-12
Mumbai,9712,1968,404244,456347.5893,85338,9046,12311,82436,80.87081696,2019-01-19
Mumbai,11771,3519,386823,372105.2166,276066,11929,14949,70817,94.13935449,2019-01-26
Mumbai,6761,2397,463446,357294.6322,200653,10255,8855,68198,97.75457736,2019-02-02
Mumbai,8520,2620,367753,359403.8152,114913,9686,10207,64101,104.0025377,2019-02-09
Mumbai,12710,3839,299212,459177.9556,123603,9054,16079,103598,64.35130665,2019-02-16
Mumbai,5701,3091,318287,301736.0446,42684,8391,6999,81055,82.24867888,2019-02-23
Mumbai,500,2885,447543,413408.4366,22730,8887,2863,74590,89.37748581,2019-03-02
Mumbai,620,2187,456481,386117.044,36033,8725,2269,59796,111.4901777,2019-03-09
Mumbai,401,4223,484186,354992.1769,67296,11077,4330,87191,76.46049095,2019-03-16
Mumbai,784,5680,553451,355042.2755,79074,9375,6455,82885,80.43272808,2019-03-23
Mumbai,554,7524,390828,435632.5112,108523,8684,7543,67061,99.41197815,2019-03-30
Mumbai,3179,8439,432125,364178.8038,57047,8476,11929,79718,83.62812247,2019-04-06
Mumbai,4026,7447,510358,354103.6537,88100,7432,11555,55278,120.6025302,2019-04-13
Mumbai,6957,8715,546329,383993.2553,125562,7300,14161,75983,87.73892406,2019-04-20
Mumbai,8020,6160,467319,446418.0866,109421,8354,14159,90974,73.28101069,2019-04-27
Mumbai,11691,6807,561319,318656.5701,88528,6379,18387,80480,82.83631544,2019-05-04
Mumbai,13142,9093,486682,260975.9628,112100,7540,22320,77122,86.44312475,2019-05-11
Mumbai,15336,10755,417293,309007.4549,169856,5875,25437,65836,101.261721,2019-05-18
Mumbai,15917,10120,582162,299886.93,200356,7088,26168,87411,76.26805169,2019-05-25
Mumbai,18772,12188,560371,262085.1934,66883,6118,30760,71105,93.75805733,2019-06-01
Mumbai,67920,17718,532704,243526.4863,148985,8295,84569,61429,108.5263746,2019-06-08
Mumbai,42475,17136,395158,262126.5373,162451,6758,58860,100718,66.19141233,2019-06-15
Mumbai,21638,16547,285499,315185.3518,145226,7373,38107,83203,80.12531599,2019-06-22
Mumbai,23628,16378,469657,324401.4442,94627,6103,39794,70026,95.20273422,2019-06-29
Mumbai,21595,16185,602528,303022.8465,84208,7020,37052,64059,104.0707265,2019-07-06
